Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
1720,Severe Skin Burn or Condition ,CC162 ,T32.51 ,Corrosions involving 50-59% of body surface with 10-19% third degree corrosion 
1721,Severe Skin Burn or Condition ,CC162 ,T32.52 ,Corrosions involving 50-59% of body surface with 20-29% third degree corrosion 
1722,Severe Skin Burn or Condition ,CC162 ,T32.53 ,Corrosions involving 50-59% of body surface with 30-39% third degree corrosion 
1723,Severe Skin Burn or Condition ,CC162 ,T32.54 ,Corrosions involving 50-59% of body surface with 40-49% third degree corrosion 
1724,Severe Skin Burn or Condition ,CC162 ,T32.55 ,Corrosions involving 50-59% of body surface with 50-59% third degree corrosion 
1725,Severe Skin Burn or Condition ,CC162 ,T32.61 ,Corrosions involving 60-69% of body surface with 10-19% third degree corrosion 
1726,Severe Skin Burn or Condition ,CC162 ,T32.62 ,Corrosions involving 60-69% of body surface with 20-29% third degree corrosion 
1727,Severe Skin Burn or Condition ,CC162 ,T32.63 ,Corrosions involving 60-69% of body surface with 30-39% third degree corrosion 
1728,Severe Skin Burn or Condition ,CC162 ,T32.64 ,Corrosions involving 60-69% of body surface with 40-49% third degree corrosion 
1729,Severe Skin Burn or Condition ,CC162 ,T32.65 ,Corrosions involving 60-69% of body surface with 50-59% third degree corrosion 
1730,Severe Skin Burn or Condition ,CC162 ,T32.66 ,Corrosions involving 60-69% of body surface with 60-69% third degree corrosion 
1731,Severe Skin Burn or Condition ,CC162 ,T32.71 ,Corrosions involving 70-79% of body surface with 10-19% third degree corrosion 
1732,Severe Skin Burn or Condition ,CC162 ,T32.72 ,Corrosions involving 70-79% of body surface with 20-29% third degree corrosion 
1733,Severe Skin Burn or Condition ,CC162 ,T32.73 ,Corrosions involving 70-79% of body surface with 30-39% third degree corrosion 
1734,Severe Skin Burn or Condition ,CC162 ,T32.74 ,Corrosions involving 70-79% of body surface with 40-49% third degree corrosion 
1735,Severe Skin Burn or Condition ,CC162 ,T32.75 ,Corrosions involving 70-79% of body surface with 50-59% third degree corrosion 
1736,Severe Skin Burn or Condition ,CC162 ,T32.76 ,Corrosions involving 70-79% of body surface with 60-69% third degree corrosion 
1737,Severe Skin Burn or Condition ,CC162 ,T32.77 ,Corrosions involving 70-79% of body surface with 70-79% third degree corrosion 
1738,Severe Skin Burn or Condition ,CC162 ,T32.81 ,Corrosions involving 80-89% of body surface with 10-19% third degree corrosion 
1739,Severe Skin Burn or Condition ,CC162 ,T32.82 ,Corrosions involving 80-89% of body surface with 20-29% third degree corrosion 
1740,Severe Skin Burn or Condition ,CC162 ,T32.83 ,Corrosions involving 80-89% of body surface with 30-39% third degree corrosion 
1741,Severe Skin Burn or Condition ,CC162 ,T32.84 ,Corrosions involving 80-89% of body surface with 40-49% third degree corrosion 
1742,Severe Skin Burn or Condition ,CC162 ,T32.85 ,Corrosions involving 80-89% of body surface with 50-59% third degree corrosion 
1743,Severe Skin Burn or Condition ,CC162 ,T32.86 ,Corrosions involving 80-89% of body surface with 60-69% third degree corrosion 
1744,Severe Skin Burn or Condition ,CC162 ,T32.87 ,Corrosions involving 80-89% of body surface with 70-79% third degree corrosion 
1745,Severe Skin Burn or Condition ,CC162 ,T32.88 ,Corrosions involving 80-89% of body surface with 80-89% third degree corrosion 
1746,Severe Skin Burn or Condition ,CC162 ,T32.91 ,Corrosions involving 90% or more of body surface with 10-19% third degree corrosion 
1747,Severe Skin Burn or Condition ,CC162 ,T32.92 ,Corrosions involving 90% or more of body surface with 20-29% third degree corrosion 
1748,Severe Skin Burn or Condition ,CC162 ,T32.93 ,Corrosions involving 90% or more of body surface with 30-39% third degree corrosion 
1749,Severe Skin Burn or Condition ,CC162 ,T32.94 ,Corrosions involving 90% or more of body surface with 40-49% third degree corrosion 
1750,Severe Skin Burn or Condition ,CC162 ,T32.95 ,Corrosions involving 90% or more of body surface with 50-59% third degree corrosion 
1751,Severe Skin Burn or Condition ,CC162 ,T32.96 ,Corrosions involving 90% or more of body surface with 60-69% third degree corrosion 
1752,Severe Skin Burn or Condition ,CC162 ,T32.97 ,Corrosions involving 90% or more of body surface with 70-79% third degree corrosion 
1753,Severe Skin Burn or Condition ,CC162 ,T32.98 ,Corrosions involving 90% or more of body surface with 80-89% third degree corrosion 
1754,Severe Skin Burn or Condition ,CC162 ,T32.99 ,Corrosions involving 90% or more of body surface with 90% or more third degree corrosion 
1755,Intractable Epilepsy ,RxCC163 ,G40.011 ,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus "
1756,Intractable Epilepsy ,RxCC163 ,G40.019 ,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus "
1757,Intractable Epilepsy ,RxCC163 ,G40.111 ,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus "
1758,Intractable Epilepsy ,RxCC163 ,G40.119 ,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus "
1759,Intractable Epilepsy ,RxCC163 ,G40.211 ,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus "
1760,Intractable Epilepsy ,RxCC163 ,G40.219 ,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus "
1761,Intractable Epilepsy ,RxCC163 ,G40.311 ,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus "
1762,Intractable Epilepsy ,RxCC163 ,G40.319 ,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus "
1763,Intractable Epilepsy ,RxCC163 ,G40.411 ,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus "
1764,Intractable Epilepsy ,RxCC163 ,G40.419 ,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus "
1765,Intractable Epilepsy ,RxCC163 ,G40.42 ,Cyclin-Dependent Kinase-Like 5 Deficiency Disorder 
1766,Intractable Epilepsy ,RxCC163 ,G40.803 ,"Other epilepsy, intractable, with status epilepticus "
1767,Intractable Epilepsy ,RxCC163 ,G40.804 ,"Other epilepsy, intractable, without status epilepticus "
1768,Intractable Epilepsy ,RxCC163 ,G40.813 ,"Lennox-Gastaut syndrome, intractable, with status epilepticus "
1769,Intractable Epilepsy ,RxCC163 ,G40.814 ,"Lennox-Gastaut syndrome, intractable, without status epilepticus "
1770,Intractable Epilepsy ,RxCC163 ,G40.823 ,"Epileptic spasms, intractable, with status epilepticus "
1771,Intractable Epilepsy ,RxCC163 ,G40.824 ,"Epileptic spasms, intractable, without status epilepticus "
1772,Intractable Epilepsy ,RxCC163 ,G40.833 ,"Dravet syndrome, intractable, with status epilepticus "
1773,Intractable Epilepsy ,RxCC163 ,G40.834 ,"Dravet syndrome, intractable, without status epilepticus "
1774,Intractable Epilepsy ,N/A ,G40.843 ,"KCNQ2-related epilepsy, intractable, with status epilepticus "
1775,Intractable Epilepsy ,N/A ,G40.844 ,"KCNQ2-related epilepsy, intractable, without status epilepticus "
1776,Intractable Epilepsy ,RxCC163 ,G40.911 ,"Epilepsy, unspecified, intractable, with status epilepticus "
1777,Intractable Epilepsy ,RxCC163 ,G40.919 ,"Epilepsy, unspecified, intractable, without status epilepticus "
1778,Intractable Epilepsy ,RxCC163 ,G40.A11 ,"Absence epileptic syndrome, intractable, with status epilepticus "
1779,Intractable Epilepsy ,RxCC163 ,G40.A19 ,"Absence epileptic syndrome, intractable, without status epilepticus "
1780,Intractable Epilepsy ,RxCC163 ,G40.B11 ,"Juvenile myoclonic epilepsy, intractable, with status epilepticus "
1781,Intractable Epilepsy ,RxCC163 ,G40.B19 ,"Juvenile myoclonic epilepsy, intractable, without status epilepticus "
1782,Intractable Epilepsy ,RxCC163 ,G40.C11 ,"Lafora progressive myoclonus epilepsy, intractable, with status epilepticus "
1783,Intractable Epilepsy ,RxCC163 ,G40.C19 ,"Lafora progressive myoclonus epilepsy, intractable, without status epilepticus "
1784,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D61.810 ,Antineoplastic chemotherapy induced pancytopenia 
1785,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D61.811 ,Other drug-induced pancytopenia 
1786,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D61.818 ,Other pancytopenia 
1787,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.0 ,Congenital agranulocytosis 
1788,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.1 ,Agranulocytosis secondary to cancer chemotherapy 
1789,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.2 ,Other drug-induced agranulocytosis 
1790,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.3 ,Neutropenia due to infection 
1791,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.4 ,Cyclic neutropenia 
1792,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.8 ,Other neutropenia 
1793,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D70.9 ,"Neutropenia, unspecified "
1794,Disorders of Immunity - Except : RxCC97: Immune Disorders ,N/A ,D71.1 ,Leukocyte adhesion deficiency 
1795,Disorders of Immunity - Except : RxCC97: Immune Disorders ,N/A ,D71.8 ,Other functional disorders of polymorphonuclear neutrophils 
1796,Disorders of Immunity - Except : RxCC97: Immune Disorders ,N/A ,D71.9 ,"Functional disorders of polymorphonuclear neutrophils, unspecified "
1797,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D72.0 ,Genetic anomalies of leukocytes 
1798,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D76.1 ,Hemophagocytic lymphohistiocytosis 
1799,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D76.2 ,"Hemophagocytic syndrome, infection-associated "
1800,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D76.3 ,Other histiocytosis syndromes 
1801,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D89.810 ,Acute graft-versus-host disease 
1802,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D89.811 ,Chronic graft-versus-host disease 
1803,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D89.812 ,Acute on chronic graft-versus-host disease 
1804,Disorders of Immunity - Except : RxCC97: Immune Disorders ,CC47 ,D89.813 ,"Graft-versus-host disease, unspecified "
1805,Cirrhosis of Liver ,CC28 ,K70.30 ,Alcoholic cirrhosis of liver without ascites 
1806,Cirrhosis of Liver ,CC28 ,K70.31 ,Alcoholic cirrhosis of liver with ascites 
1807,Cirrhosis of Liver ,CC28 ,K70.40 ,Alcoholic hepatic failure without coma 
1808,Cirrhosis of Liver ,CC28 ,K70.41 ,Alcoholic hepatic failure with coma 
1809,Cirrhosis of Liver ,CC28 ,K70.9 ,"Alcoholic liver disease, unspecified "
1810,Cirrhosis of Liver ,CC28 ,K74.3 ,Primary biliary cirrhosis 
1811,Cirrhosis of Liver ,CC28 ,K74.4 ,Secondary biliary cirrhosis 
1812,Cirrhosis of Liver ,CC28 ,K74.5 ,"Biliary cirrhosis, unspecified "
1813,Cirrhosis of Liver ,CC28 ,K74.60 ,Unspecified cirrhosis of liver 
1814,Cirrhosis of Liver ,CC28 ,K74.69 ,Other cirrhosis of liver 
1815,Respiratory Arrest ,CC83 ,R09.2 ,Respiratory arrest 
1816,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,B44.81 ,Allergic bronchopulmonary aspergillosis 
1817,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J47.0 ,Bronchiectasis with acute lower respiratory infection 
1818,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J47.1 ,Bronchiectasis with (acute) exacerbation 
1819,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J47.9 ,"Bronchiectasis, uncomplicated "
1820,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.0 ,Acute pulmonary manifestations due to radiation 
1821,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.1 ,Chronic and other pulmonary manifestations due to radiation 
1822,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.2 ,Acute drug-induced interstitial lung disorders 
1823,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.3 ,Chronic drug-induced interstitial lung disorders 
1824,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.4 ,"Drug-induced interstitial lung disorders, unspecified "
1825,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.5 ,Respiratory conditions due to smoke inhalation 
1826,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.8 ,Respiratory conditions due to other specified external agents 
1827,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J70.9 ,Respiratory conditions due to unspecified external agent 
1828,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.01 ,Alveolar proteinosis 
1829,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.02 ,Pulmonary alveolar microlithiasis 
1830,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.03 ,Idiopathic pulmonary hemosiderosis 
1831,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.09 ,Other alveolar and parieto-alveolar conditions 
1832,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.10 ,"Pulmonary fibrosis, unspecified "
1833,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.111 ,"Idiopathic interstitial pneumonia, not otherwise specified "
1834,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.112 ,Idiopathic pulmonary fibrosis 
1835,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.113 ,Idiopathic non-specific interstitial pneumonitis 
1836,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.114 ,Acute interstitial pneumonitis 
1837,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.115 ,Respiratory bronchiolitis interstitial lung disease 
1838,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.116 ,Cryptogenic organizing pneumonia 
1839,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.117 ,Desquamative interstitial pneumonia 
1840,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.170 ,Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere 
1841,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.178 ,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere 
1842,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.2 ,Lymphoid interstitial pneumonia 
1843,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.81 ,Lymphangioleiomyomatosis 
1844,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.82 ,Adult pulmonary Langerhans cell histiocytosis 
1845,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.83 ,Surfactant mutations of the lung 
1846,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.841 ,Neuroendocrine cell hyperplasia of infancy 
1847,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.842 ,Pulmonary interstitial glycogenosis 
1848,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.843 ,Alveolar capillary dysplasia with vein misalignment 
1849,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.848 ,Other interstitial lung diseases of childhood 
1850,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.89 ,Other specified interstitial pulmonary diseases 
1851,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J84.9 ,"Interstitial pulmonary disease, unspecified "
1852,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,J99 ,Respiratory disorders in diseases classified elsewhere 
1853,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M32.13 ,Lung involvement in systemic lupus erythematosus 
1854,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M33.01 ,Juvenile dermatomyositis with respiratory involvement 
1855,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M33.11 ,Other dermatomyositis with respiratory involvement 
1856,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M33.21 ,Polymyositis with respiratory involvement 
1857,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M33.91 ,"Dermatopolymyositis, unspecified with respiratory involvement "
1858,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M34.81 ,Systemic sclerosis with lung involvement 
1859,Pulmonary Fibrosis and Other Chronic Lung Disorders ,RxCC227 ,M35.02 ,Sjogren syndrome with lung involvement 
1860,Complications of Specified Implanted Device or Graft ,N/A ,T82.310D ,"Breakdown (mechanical) of aortic (bifurcation) graft (replacement), subsequent encounter "
1861,Complications of Specified Implanted Device or Graft ,N/A ,T82.311D ,"Breakdown (mechanical) of carotid arterial graft (bypass), subsequent encounter "
1862,Complications of Specified Implanted Device or Graft ,N/A ,T82.312D ,"Breakdown (mechanical) of femoral arterial graft (bypass), subsequent encounter "
1863,Complications of Specified Implanted Device or Graft ,N/A ,T82.318D ,"Breakdown (mechanical) of other vascular grafts, subsequent encounter "
1864,Complications of Specified Implanted Device or Graft ,N/A ,T82.319D ,"Breakdown (mechanical) of unspecified vascular grafts, subsequent encounter "
1865,Complications of Specified Implanted Device or Graft ,N/A ,T82.320D ,"Displacement of aortic (bifurcation) graft (replacement), subsequent encounter "
1866,Complications of Specified Implanted Device or Graft ,N/A ,T82.321D ,"Displacement of carotid arterial graft (bypass), subsequent encounter "
1867,Complications of Specified Implanted Device or Graft ,N/A ,T82.322D ,"Displacement of femoral arterial graft (bypass), subsequent encounter "
1868,Complications of Specified Implanted Device or Graft ,N/A ,T82.328D ,"Displacement of other vascular grafts, subsequent encounter "
1869,Complications of Specified Implanted Device or Graft ,N/A ,T82.329D ,"Displacement of unspecified vascular grafts, subsequent encounter "
1870,Complications of Specified Implanted Device or Graft ,N/A ,T82.330D ,"Leakage of aortic (bifurcation) graft (replacement), subsequent encounter "
1871,Complications of Specified Implanted Device or Graft ,N/A ,T82.331D ,"Leakage of carotid arterial graft (bypass), subsequent encounter "
1872,Complications of Specified Implanted Device or Graft ,N/A ,T82.332D ,"Leakage of femoral arterial graft (bypass), subsequent encounter "
1873,Complications of Specified Implanted Device or Graft ,N/A ,T82.338D ,"Leakage of other vascular grafts, subsequent encounter "
1874,Complications of Specified Implanted Device or Graft ,N/A ,T82.339D ,"Leakage of unspecified vascular graft, subsequent encounter "
1875,Complications of Specified Implanted Device or Graft ,N/A ,T82.390D ,"Other mechanical complication of aortic (bifurcation) graft (replacement), subsequent encounter "
1876,Complications of Specified Implanted Device or Graft ,N/A ,T82.391D ,"Other mechanical complication of carotid arterial graft (bypass), subsequent encounter "
1877,Complications of Specified Implanted Device or Graft ,N/A ,T82.392D ,"Other mechanical complication of femoral arterial graft (bypass), subsequent encounter "
1878,Complications of Specified Implanted Device or Graft ,N/A ,T82.398D ,"Other mechanical complication of other vascular grafts, subsequent encounter "
1879,Complications of Specified Implanted Device or Graft ,N/A ,T82.399D ,"Other mechanical complication of unspecified vascular grafts, subsequent encounter "
1880,Complications of Specified Implanted Device or Graft ,N/A ,T82.510D ,"Breakdown (mechanical) of surgically created arteriovenous fistula, subsequent encounter "
1881,Complications of Specified Implanted Device or Graft ,N/A ,T82.511D ,"Breakdown (mechanical) of surgically created arteriovenous shunt, subsequent encounter "
1882,Complications of Specified Implanted Device or Graft ,N/A ,T82.513D ,"Breakdown (mechanical) of balloon (counterpulsation) device, subsequent encounter "
1883,Complications of Specified Implanted Device or Graft ,N/A ,T82.514D ,"Breakdown (mechanical) of infusion catheter, subsequent encounter "
1884,Complications of Specified Implanted Device or Graft ,N/A ,T82.515D ,"Breakdown (mechanical) of umbrella device, subsequent encounter "
1885,Complications of Specified Implanted Device or Graft ,N/A ,T82.518D ,"Breakdown (mechanical) of other cardiac and vascular devices and implants, subsequent encounter "
1886,Complications of Specified Implanted Device or Graft ,N/A ,T82.520D ,"Displacement of surgically created arteriovenous fistula, subsequent encounter "
1887,Complications of Specified Implanted Device or Graft ,N/A ,T82.521D ,"Displacement of surgically created arteriovenous shunt, subsequent encounter "
1888,Complications of Specified Implanted Device or Graft ,N/A ,T82.523D ,"Displacement of balloon (counterpulsation) device, subsequent encounter "
1889,Complications of Specified Implanted Device or Graft ,N/A ,T82.524D ,"Displacement of infusion catheter, subsequent encounter "
1890,Complications of Specified Implanted Device or Graft ,N/A ,T82.525D ,"Displacement of umbrella device, subsequent encounter "
1891,Complications of Specified Implanted Device or Graft ,N/A ,T82.528D ,"Displacement of other cardiac and vascular devices and implants, subsequent encounter "
1892,Complications of Specified Implanted Device or Graft ,N/A ,T82.530D ,"Leakage of surgically created arteriovenous fistula, subsequent encounter "
1893,Complications of Specified Implanted Device or Graft ,N/A ,T82.531D ,"Leakage of surgically created arteriovenous shunt, subsequent encounter "
1894,Complications of Specified Implanted Device or Graft ,N/A ,T82.533D ,"Leakage of balloon (counterpulsation) device, subsequent encounter "
1895,Complications of Specified Implanted Device or Graft ,N/A ,T82.534D ,"Leakage of infusion catheter, subsequent encounter "
1896,Complications of Specified Implanted Device or Graft ,N/A ,T82.535D ,"Leakage of umbrella device, subsequent encounter "
1897,Complications of Specified Implanted Device or Graft ,N/A ,T82.538D ,"Leakage of other cardiac and vascular devices and implants, subsequent encounter "
1898,Complications of Specified Implanted Device or Graft ,N/A ,T82.590D ,"Other mechanical complication of surgically created arteriovenous fistula, subsequent encounter "
1899,Complications of Specified Implanted Device or Graft ,N/A ,T82.591D ,"Other mechanical complication of surgically created arteriovenous shunt, subsequent encounter "
1900,Complications of Specified Implanted Device or Graft ,N/A ,T82.593D ,"Other mechanical complication of balloon (counterpulsation) device, subsequent encounter "
1901,Complications of Specified Implanted Device or Graft ,N/A ,T82.594D ,"Other mechanical complication of infusion catheter, subsequent encounter "
1902,Complications of Specified Implanted Device or Graft ,N/A ,T82.595D ,"Other mechanical complication of umbrella device, subsequent encounter "
1903,Complications of Specified Implanted Device or Graft ,N/A ,T82.598D ,"Other mechanical complication of other cardiac and vascular devices and implants, subsequent encounter "
1904,Complications of Specified Implanted Device or Graft ,N/A ,T82.6XXD ,"Infection and inflammatory reaction due to cardiac valve prosthesis, subsequent encounter "
1905,Complications of Specified Implanted Device or Graft ,N/A ,T82.7XXD ,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, subsequent encounter "
1906,Complications of Specified Implanted Device or Graft ,N/A ,T82.818D ,"Embolism due to vascular prosthetic devices, implants and grafts, subsequent encounter "
1907,Complications of Specified Implanted Device or Graft ,N/A ,T82.828D ,"Fibrosis due to vascular prosthetic devices, implants and grafts, subsequent encounter "
1908,Complications of Specified Implanted Device or Graft ,N/A ,T82.838D ,"Hemorrhage due to vascular prosthetic devices, implants and grafts, subsequent encounter "
1909,Complications of Specified Implanted Device or Graft ,N/A ,T82.848D ,"Pain due to vascular prosthetic devices, implants and grafts, subsequent encounter "
1910,Complications of Specified Implanted Device or Graft ,N/A ,T82.856D ,"Stenosis of peripheral vascular stent, subsequent encounter "
1911,Complications of Specified Implanted Device or Graft ,N/A ,T82.858D ,"Stenosis of other vascular prosthetic devices, implants and grafts, subsequent encounter "
1912,Complications of Specified Implanted Device or Graft ,N/A ,T82.868D ,"Thrombosis due to vascular prosthetic devices, implants and grafts, subsequent encounter "
1913,Complications of Specified Implanted Device or Graft ,N/A ,T82.898D ,"Other specified complication of vascular prosthetic devices, implants and grafts, subsequent encounter "
1914,Complications of Specified Implanted Device or Graft ,N/A ,T83.010D ,"Breakdown (mechanical) of cystostomy catheter, subsequent encounter "
1915,Complications of Specified Implanted Device or Graft ,N/A ,T83.011D ,"Breakdown (mechanical) of indwelling urethral catheter, subsequent encounter "
1916,Complications of Specified Implanted Device or Graft ,N/A ,T83.012D ,"Breakdown (mechanical) of nephrostomy catheter, subsequent encounter "
1917,Complications of Specified Implanted Device or Graft ,N/A ,T83.018D ,"Breakdown (mechanical) of other urinary catheter, subsequent encounter "
1918,Complications of Specified Implanted Device or Graft ,N/A ,T83.020D ,"Displacement of cystostomy catheter, subsequent encounter "
1919,Complications of Specified Implanted Device or Graft ,N/A ,T83.021D ,"Displacement of indwelling urethral catheter, subsequent encounter "
1920,Complications of Specified Implanted Device or Graft ,N/A ,T83.022D ,"Displacement of nephrostomy catheter, subsequent encounter "
1921,Complications of Specified Implanted Device or Graft ,N/A ,T83.028D ,"Displacement of other urinary catheter, subsequent encounter "
1922,Complications of Specified Implanted Device or Graft ,N/A ,T83.030D ,"Leakage of cystostomy catheter, subsequent encounter "
1923,Complications of Specified Implanted Device or Graft ,N/A ,T83.031D ,"Leakage of indwelling urethral catheter, subsequent encounter "
1924,Complications of Specified Implanted Device or Graft ,N/A ,T83.032D ,"Leakage of nephrostomy catheter, subsequent encounter "
1925,Complications of Specified Implanted Device or Graft ,N/A ,T83.038D ,"Leakage of other urinary catheter, subsequent encounter "
1926,Complications of Specified Implanted Device or Graft ,N/A ,T83.090D ,"Other mechanical complication of cystostomy catheter, subsequent encounter "
1927,Complications of Specified Implanted Device or Graft ,N/A ,T83.091D ,"Other mechanical complication of indwelling urethral catheter, subsequent encounter "
1928,Complications of Specified Implanted Device or Graft ,N/A ,T83.092D ,"Other mechanical complication of nephrostomy catheter, subsequent encounter "
1929,Complications of Specified Implanted Device or Graft ,N/A ,T83.098D ,"Other mechanical complication of other urinary catheter, subsequent encounter "
1930,Complications of Specified Implanted Device or Graft ,N/A ,T83.110D ,"Breakdown (mechanical) of urinary electronic stimulator device, subsequent encounter "
1931,Complications of Specified Implanted Device or Graft ,N/A ,T83.111D ,"Breakdown (mechanical) of implanted urinary sphincter, subsequent encounter "
1932,Complications of Specified Implanted Device or Graft ,N/A ,T83.112D ,"Breakdown (mechanical) of indwelling ureteral stent, subsequent encounter "
1933,Complications of Specified Implanted Device or Graft ,N/A ,T83.113D ,"Breakdown (mechanical) of other urinary stents, subsequent encounter "
1934,Complications of Specified Implanted Device or Graft ,N/A ,T83.118D ,"Breakdown (mechanical) of other urinary devices and implants, subsequent encounter "
